id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_dokter_umum,satuan,tahun
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,67,ORANG,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,50,ORANG,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,375,ORANG,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,93,ORANG,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,132,ORANG,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,210,ORANG,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,140,ORANG,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,90,ORANG,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,90,ORANG,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,110,ORANG,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,136,ORANG,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,99,ORANG,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,67,ORANG,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,108,ORANG,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,108,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,60,ORANG,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,217,ORANG,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,157,ORANG,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,134,ORANG,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,36,ORANG,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,219,ORANG,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,90,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,400,ORANG,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,134,ORANG,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,260,ORANG,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,337,ORANG,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,79,ORANG,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,53,ORANG,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,28,ORANG,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,655,ORANG,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,269,ORANG,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,360,ORANG,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,363,ORANG,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,260,ORANG,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,134,ORANG,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,150,ORANG,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,186,ORANG,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,385,ORANG,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,114,ORANG,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,119,ORANG,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,273,ORANG,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,158,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,187,ORANG,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,423,ORANG,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,1272,ORANG,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,174,ORANG,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,56,ORANG,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,447,ORANG,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,235,ORANG,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,671,ORANG,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,358,ORANG,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,1758,ORANG,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,519,ORANG,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,241,ORANG,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,170,ORANG,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,37,ORANG,2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,441,ORANG,2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,204,ORANG,2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,256,ORANG,2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,163,ORANG,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,68,ORANG,2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,36,ORANG,2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,72,ORANG,2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,115,ORANG,2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,311,ORANG,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,58,ORANG,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,47,ORANG,2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,144,ORANG,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,88,ORANG,2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,155,ORANG,2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,313,ORANG,2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,535,ORANG,2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,79,ORANG,2021
